Package                    Current    Wanted   Latest  Location                               Depended by         Package Type     Homepage
@tailwindcss/postcss        4.1.14    4.1.15   4.1.15  node_modules/@tailwindcss/postcss      gestion restaurant  dependencies     https://tailwindcss.com
@tanstack/react-query       5.90.3    5.90.5   5.90.5  node_modules/@tanstack/react-query     gestion restaurant  dependencies     https://tanstack.com/query
@types/node               20.19.21  20.19.22   24.9.0  node_modules/@types/node               gestion restaurant  devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node
eslint                      9.37.0    9.38.0   9.38.0  node_modules/eslint                    gestion restaurant  devDependencies  https://eslint.org
eslint-config-next          15.3.5    15.3.5   15.5.6  node_modules/eslint-config-next        gestion restaurant  devDependencies  https://nextjs.org/docs/app/api-reference/config/eslint
lucide-react               0.525.0   0.525.0  0.546.0  node_modules/lucide-react              gestion restaurant  dependencies     https://lucide.dev
react-syntax-highlighter     5.8.0     5.8.0   15.6.6  node_modules/react-syntax-highlighter  gestion restaurant  dependencies     https://github.com/react-syntax-highlighter/react-syntax-highlighter#readme
recharts                    2.15.4    2.15.4    3.3.0  node_modules/recharts                  gestion restaurant  dependencies     https://github.com/recharts/recharts
tailwindcss                 4.1.14    4.1.15   4.1.15  node_modules/tailwindcss               gestion restaurant  dependencies     https://tailwindcss.com
uuid                        11.1.0    11.1.0   13.0.0  node_modules/uuid                      gestion restaurant  dependencies     https://github.com/uuidjs/uuid#readme
